Unnamed: 0,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB
13776,53+2,53+2,53+2,52+2,52+2,52+2,52+2,52+2,53+2,53+2,53+2,53+2,55+2,55+2,55+2,53+2,59+2,61+2,61+2,61+2,59+2,61+2,64+2,64+2,64+2,61+2
13777,58+2,58+2,58+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,58+2,58+2,58+2,61+2,58+2,55+2,55+2,55+2,58+2,57+2,53+2,53+2,53+2,57+2
13778,53+2,53+2,53+2,60+2,57+2,57+2,57+2,60+2,58+2,58+2,58+2,61+2,57+2,57+2,57+2,61+2,60+2,55+2,55+2,55+2,60+2,58+2,53+2,53+2,53+2,58+2
13779,56+2,56+2,56+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,57+2,57+2,57+2,61+2,51+2,49+2,49+2,49+2,51+2,48+2,41+2,41+2,41+2,48+2
13780,52+2,52+2,52+2,53+2,52+2,52+2,52+2,53+2,53+2,53+2,53+2,54+2,56+2,56+2,56+2,54+2,60+2,60+2,60+2,60+2,60+2,61+2,62+2,62+2,62+2,61+2
13781,52+2,52+2,52+2,56+2,56+2,56+2,56+2,56+2,59+2,59+2,59+2,58+2,60+2,60+2,60+2,58+2,57+2,59+2,59+2,59+2,57+2,55+2,54+2,54+2,54+2,55+2
13782,59+2,59+2,59+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,59+2,57+2,57+2,57+2,59+2,54+2,54+2,54+2,54+2,54+2,54+2,54+2,54+2,54+2,54+2
13783,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,62+2,62+2,62+2,63+2,60+2,60+2,60+2,63+2,60+2,59+2,59+2,59+2,60+2,60+2,58+2,58+2,58+2,60+2
13784,42+2,42+2,42+2,37+2,39+2,39+2,39+2,37+2,37+2,37+2,37+2,39+2,42+2,42+2,42+2,39+2,50+2,53+2,53+2,53+2,50+2,52+2,60+2,60+2,60+2,52+2
13785,42+2,42+2,42+2,39+2,39+2,39+2,39+2,39+2,39+2,39+2,39+2,42+2,43+2,43+2,43+2,42+2,54+2,55+2,55+2,55+2,54+2,56+2,61+2,61+2,61+2,56+2
13786,54+2,54+2,54+2,59+2,58+2,58+2,58+2,59+2,61+2,61+2,61+2,60+2,59+2,59+2,59+2,60+2,53+2,53+2,53+2,53+2,53+2,52+2,49+2,49+2,49+2,52+2
13787,61+2,61+2,61+2,58+2,59+2,59+2,59+2,58+2,57+2,57+2,57+2,56+2,49+2,49+2,49+2,56+2,41+2,38+2,38+2,38+2,41+2,39+2,36+2,36+2,36+2,39+2
13788,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13789,56+2,56+2,56+2,58+2,59+2,59+2,59+2,58+2,60+2,60+2,60+2,59+2,61+2,61+2,61+2,59+2,58+2,60+2,60+2,60+2,58+2,58+2,59+2,59+2,59+2,58+2
13790,54+2,54+2,54+2,59+2,57+2,57+2,57+2,59+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2,59+2,59+2,59+2,59+2,59+2,58+2,57+2,57+2,57+2,58+2
13791,54+2,54+2,54+2,57+2,57+2,57+2,57+2,57+2,59+2,59+2,59+2,58+2,60+2,60+2,60+2,58+2,59+2,61+2,61+2,61+2,59+2,59+2,58+2,58+2,58+2,59+2
13792,49+2,49+2,49+2,55+2,52+2,52+2,52+2,55+2,52+2,52+2,52+2,57+2,53+2,53+2,53+2,57+2,61+2,56+2,56+2,56+2,61+2,61+2,57+2,57+2,57+2,61+2
13793,54+2,54+2,54+2,60+2,58+2,58+2,58+2,60+2,58+2,58+2,58+2,60+2,51+2,51+2,51+2,60+2,44+2,37+2,37+2,37+2,44+2,40+2,28+2,28+2,28+2,40+2
13794,61+2,61+2,61+2,58+2,59+2,59+2,59+2,58+2,58+2,58+2,58+2,57+2,51+2,51+2,51+2,57+2,42+2,41+2,41+2,41+2,42+2,40+2,38+2,38+2,38+2,40+2
13795,52+2,52+2,52+2,57+2,56+2,56+2,56+2,57+2,59+2,59+2,59+2,59+2,60+2,60+2,60+2,59+2,62+2,62+2,62+2,62+2,62+2,62+2,58+2,58+2,58+2,62+2
13796,60+2,60+2,60+2,58+2,59+2,59+2,59+2,58+2,57+2,57+2,57+2,57+2,50+2,50+2,50+2,57+2,43+2,40+2,40+2,40+2,43+2,41+2,36+2,36+2,36+2,41+2
13797,61+2,61+2,61+2,57+2,59+2,59+2,59+2,57+2,56+2,56+2,56+2,55+2,47+2,47+2,47+2,55+2,38+2,34+2,34+2,34+2,38+2,36+2,33+2,33+2,33+2,36+2
13798,49+2,49+2,49+2,47+2,49+2,49+2,49+2,47+2,50+2,50+2,50+2,49+2,54+2,54+2,54+2,49+2,55+2,60+2,60+2,60+2,55+2,56+2,61+2,61+2,61+2,56+2
13799,61+2,61+2,61+2,59+2,60+2,60+2,60+2,59+2,58+2,58+2,58+2,57+2,52+2,52+2,52+2,57+2,47+2,46+2,46+2,46+2,47+2,46+2,46+2,46+2,46+2,46+2
13800,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,60+2,60+2,60+2,61+2,51+2,51+2,51+2,61+2,45+2,39+2,39+2,39+2,45+2,43+2,34+2,34+2,34+2,43+2
13801,61+2,61+2,61+2,61+2,60+2,60+2,60+2,61+2,60+2,60+2,60+2,61+2,56+2,56+2,56+2,61+2,48+2,46+2,46+2,46+2,48+2,46+2,41+2,41+2,41+2,46+2
13802,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13803,54+2,54+2,54+2,55+2,56+2,56+2,56+2,55+2,58+2,58+2,58+2,56+2,60+2,60+2,60+2,56+2,56+2,58+2,58+2,58+2,56+2,55+2,54+2,54+2,54+2,55+2
13804,57+2,57+2,57+2,59+2,59+2,59+2,59+2,59+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,59+2,60+2,60+2,60+2,59+2,58+2,57+2,57+2,57+2,58+2
13805,57+2,57+2,57+2,59+2,60+2,60+2,60+2,59+2,61+2,61+2,61+2,60+2,60+2,60+2,60+2,60+2,57+2,58+2,58+2,58+2,57+2,55+2,54+2,54+2,54+2,55+2
13806,56+2,56+2,56+2,61+2,59+2,59+2,59+2,61+2,59+2,59+2,59+2,61+2,53+2,53+2,53+2,61+2,48+2,43+2,43+2,43+2,48+2,45+2,37+2,37+2,37+2,45+2
13807,50+2,50+2,50+2,52+2,51+2,51+2,51+2,52+2,51+2,51+2,51+2,53+2,51+2,51+2,51+2,53+2,59+2,57+2,57+2,57+2,59+2,60+2,61+2,61+2,61+2,60+2
13808,48+2,48+2,48+2,54+2,51+2,51+2,51+2,54+2,52+2,52+2,52+2,56+2,54+2,54+2,54+2,56+2,61+2,57+2,57+2,57+2,61+2,61+2,58+2,58+2,58+2,61+2
13809,57+2,57+2,57+2,59+2,58+2,58+2,58+2,59+2,59+2,59+2,59+2,60+2,61+2,61+2,61+2,60+2,62+2,62+2,62+2,62+2,62+2,61+2,60+2,60+2,60+2,61+2
13810,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13811,61+2,61+2,61+2,59+2,61+2,61+2,61+2,59+2,60+2,60+2,60+2,58+2,55+2,55+2,55+2,58+2,45+2,45+2,45+2,45+2,45+2,42+2,40+2,40+2,40+2,42+2
13812,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13813,48+2,48+2,48+2,54+2,51+2,51+2,51+2,54+2,51+2,51+2,51+2,55+2,51+2,51+2,51+2,55+2,61+2,56+2,56+2,56+2,61+2,61+2,59+2,59+2,59+2,61+2
13814,47+2,47+2,47+2,48+2,47+2,47+2,47+2,48+2,47+2,47+2,47+2,50+2,50+2,50+2,50+2,50+2,56+2,56+2,56+2,56+2,56+2,58+2,60+2,60+2,60+2,58+2
13815,52+2,52+2,52+2,54+2,54+2,54+2,54+2,54+2,55+2,55+2,55+2,56+2,56+2,56+2,56+2,56+2,60+2,60+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2
13816,49+2,49+2,49+2,55+2,52+2,52+2,52+2,55+2,52+2,52+2,52+2,56+2,52+2,52+2,52+2,56+2,61+2,56+2,56+2,56+2,61+2,61+2,58+2,58+2,58+2,61+2
13817,55+2,55+2,55+2,57+2,55+2,55+2,55+2,57+2,55+2,55+2,55+2,57+2,54+2,54+2,54+2,57+2,60+2,57+2,57+2,57+2,60+2,61+2,60+2,60+2,60+2,61+2
13818,56+2,56+2,56+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,62+2,60+2,60+2,60+2,62+2,59+2,57+2,57+2,57+2,59+2,57+2,52+2,52+2,52+2,57+2
13819,55+2,55+2,55+2,56+2,55+2,55+2,55+2,56+2,55+2,55+2,55+2,58+2,56+2,56+2,56+2,58+2,61+2,59+2,59+2,59+2,61+2,61+2,60+2,60+2,60+2,61+2
13820,63+2,63+2,63+2,60+2,61+2,61+2,61+2,60+2,59+2,59+2,59+2,59+2,54+2,54+2,54+2,59+2,49+2,47+2,47+2,47+2,49+2,46+2,45+2,45+2,45+2,46+2
13821,51+2,51+2,51+2,49+2,50+2,50+2,50+2,49+2,50+2,50+2,50+2,51+2,53+2,53+2,53+2,51+2,57+2,58+2,58+2,58+2,57+2,58+2,61+2,61+2,61+2,58+2
13822,42+2,42+2,42+2,39+2,39+2,39+2,39+2,39+2,39+2,39+2,39+2,41+2,43+2,43+2,43+2,41+2,52+2,54+2,54+2,54+2,52+2,55+2,61+2,61+2,61+2,55+2
13823,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13824,37+2,37+2,37+2,35+2,35+2,35+2,35+2,35+2,35+2,35+2,35+2,37+2,39+2,39+2,39+2,37+2,49+2,52+2,52+2,52+2,49+2,52+2,61+2,61+2,61+2,52+2
13825,47+2,47+2,47+2,52+2,49+2,49+2,49+2,52+2,50+2,50+2,50+2,54+2,52+2,52+2,52+2,54+2,61+2,57+2,57+2,57+2,61+2,61+2,59+2,59+2,59+2,61+2
13826,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13827,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13828,49+2,49+2,49+2,42+2,45+2,45+2,45+2,42+2,43+2,43+2,43+2,41+2,45+2,45+2,45+2,41+2,47+2,53+2,53+2,53+2,47+2,49+2,60+2,60+2,60+2,49+2
13829,48+2,48+2,48+2,55+2,51+2,51+2,51+2,55+2,52+2,52+2,52+2,57+2,51+2,51+2,51+2,57+2,61+2,55+2,55+2,55+2,61+2,60+2,55+2,55+2,55+2,60+2
13830,44+2,44+2,44+2,46+2,45+2,45+2,45+2,46+2,45+2,45+2,45+2,49+2,48+2,48+2,48+2,49+2,58+2,57+2,57+2,57+2,58+2,59+2,61+2,61+2,61+2,59+2
13831,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2,59+2,59+2,59+2,59+2,59+2,57+2,56+2,56+2,56+2,57+2
13832,60+2,60+2,60+2,55+2,57+2,57+2,57+2,55+2,54+2,54+2,54+2,53+2,47+2,47+2,47+2,53+2,38+2,36+2,36+2,36+2,38+2,37+2,34+2,34+2,34+2,37+2
13833,57+2,57+2,57+2,61+2,59+2,59+2,59+2,61+2,60+2,60+2,60+2,60+2,53+2,53+2,53+2,60+2,45+2,41+2,41+2,41+2,45+2,43+2,35+2,35+2,35+2,43+2
13834,53+2,53+2,53+2,59+2,57+2,57+2,57+2,59+2,58+2,58+2,58+2,60+2,54+2,54+2,54+2,60+2,48+2,43+2,43+2,43+2,48+2,45+2,36+2,36+2,36+2,45+2
13835,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,62+2,60+2,60+2,60+2,62+2,60+2,59+2,59+2,59+2,60+2,59+2,58+2,58+2,58+2,59+2
13836,58+2,58+2,58+2,61+2,60+2,60+2,60+2,61+2,59+2,59+2,59+2,60+2,53+2,53+2,53+2,60+2,49+2,45+2,45+2,45+2,49+2,46+2,41+2,41+2,41+2,46+2
13837,40+2,40+2,40+2,37+2,36+2,36+2,36+2,37+2,35+2,35+2,35+2,39+2,39+2,39+2,39+2,39+2,52+2,52+2,52+2,52+2,52+2,55+2,60+2,60+2,60+2,55+2
13838,51+2,51+2,51+2,53+2,53+2,53+2,53+2,53+2,54+2,54+2,54+2,56+2,57+2,57+2,57+2,56+2,60+2,61+2,61+2,61+2,60+2,60+2,60+2,60+2,60+2,60+2
13839,52+2,52+2,52+2,56+2,55+2,55+2,55+2,56+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,60+2,61+2,61+2,61+2,60+2,60+2,60+2,60+2,60+2,60+2
13840,47+2,47+2,47+2,45+2,43+2,43+2,43+2,45+2,41+2,41+2,41+2,47+2,45+2,45+2,45+2,47+2,58+2,56+2,56+2,56+2,58+2,61+2,63+2,63+2,63+2,61+2
13841,53+2,53+2,53+2,56+2,54+2,54+2,54+2,56+2,53+2,53+2,53+2,56+2,53+2,53+2,53+2,56+2,61+2,57+2,57+2,57+2,61+2,61+2,60+2,60+2,60+2,61+2
13842,50+2,50+2,50+2,54+2,51+2,51+2,51+2,54+2,51+2,51+2,51+2,55+2,51+2,51+2,51+2,55+2,60+2,56+2,56+2,56+2,60+2,61+2,58+2,58+2,58+2,61+2
13843,61+2,61+2,61+2,57+2,59+2,59+2,59+2,57+2,56+2,56+2,56+2,55+2,49+2,49+2,49+2,55+2,40+2,38+2,38+2,38+2,40+2,38+2,38+2,38+2,38+2,38+2
13844,46+2,46+2,46+2,50+2,47+2,47+2,47+2,50+2,47+2,47+2,47+2,51+2,48+2,48+2,48+2,51+2,60+2,55+2,55+2,55+2,60+2,61+2,59+2,59+2,59+2,61+2
13845,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13846,60+2,60+2,60+2,56+2,58+2,58+2,58+2,56+2,55+2,55+2,55+2,53+2,47+2,47+2,47+2,53+2,38+2,35+2,35+2,35+2,38+2,37+2,34+2,34+2,34+2,37+2
13847,43+2,43+2,43+2,40+2,39+2,39+2,39+2,40+2,39+2,39+2,39+2,41+2,43+2,43+2,43+2,41+2,53+2,53+2,53+2,53+2,53+2,55+2,60+2,60+2,60+2,55+2
13848,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13849,59+2,59+2,59+2,62+2,60+2,60+2,60+2,62+2,61+2,61+2,61+2,61+2,60+2,60+2,60+2,61+2,61+2,59+2,59+2,59+2,61+2,60+2,57+2,57+2,57+2,60+2
13850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13851,61+2,61+2,61+2,60+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,59+2,59+2,59+2,59+2,59+2,53+2,55+2,55+2,55+2,53+2,53+2,54+2,54+2,54+2,53+2
13852,40+2,40+2,40+2,36+2,37+2,37+2,37+2,36+2,36+2,36+2,36+2,37+2,40+2,40+2,40+2,37+2,51+2,53+2,53+2,53+2,51+2,54+2,60+2,60+2,60+2,54+2
13853,61+2,61+2,61+2,62+2,61+2,61+2,61+2,62+2,58+2,58+2,58+2,60+2,50+2,50+2,50+2,60+2,46+2,40+2,40+2,40+2,46+2,43+2,37+2,37+2,37+2,43+2
13854,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13855,61+2,61+2,61+2,57+2,60+2,60+2,60+2,57+2,59+2,59+2,59+2,56+2,53+2,53+2,53+2,56+2,39+2,40+2,40+2,40+2,39+2,37+2,35+2,35+2,35+2,37+2
13856,54+2,54+2,54+2,54+2,56+2,56+2,56+2,54+2,57+2,57+2,57+2,55+2,59+2,59+2,59+2,55+2,56+2,61+2,61+2,61+2,56+2,56+2,60+2,60+2,60+2,56+2
13857,60+2,60+2,60+2,55+2,58+2,58+2,58+2,55+2,57+2,57+2,57+2,54+2,52+2,52+2,52+2,54+2,41+2,43+2,43+2,43+2,41+2,40+2,42+2,42+2,42+2,40+2
13858,50+2,50+2,50+2,55+2,52+2,52+2,52+2,55+2,52+2,52+2,52+2,57+2,52+2,52+2,52+2,57+2,60+2,56+2,56+2,56+2,60+2,61+2,57+2,57+2,57+2,61+2
13859,41+2,41+2,41+2,37+2,37+2,37+2,37+2,37+2,36+2,36+2,36+2,38+2,39+2,39+2,39+2,38+2,50+2,51+2,51+2,51+2,50+2,53+2,60+2,60+2,60+2,53+2
13860,58+2,58+2,58+2,57+2,57+2,57+2,57+2,57+2,58+2,58+2,58+2,58+2,61+2,61+2,61+2,58+2,61+2,64+2,64+2,64+2,61+2,62+2,65+2,65+2,65+2,62+2
13861,55+2,55+2,55+2,60+2,57+2,57+2,57+2,60+2,58+2,58+2,58+2,60+2,52+2,52+2,52+2,60+2,48+2,44+2,44+2,44+2,48+2,45+2,40+2,40+2,40+2,45+2
13862,52+2,52+2,52+2,56+2,55+2,55+2,55+2,56+2,58+2,58+2,58+2,58+2,60+2,60+2,60+2,58+2,55+2,58+2,58+2,58+2,55+2,53+2,54+2,54+2,54+2,53+2
13863,54+2,54+2,54+2,55+2,53+2,53+2,53+2,55+2,53+2,53+2,53+2,57+2,55+2,55+2,55+2,57+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,61+2
13864,42+2,42+2,42+2,37+2,38+2,38+2,38+2,37+2,37+2,37+2,37+2,39+2,42+2,42+2,42+2,39+2,51+2,54+2,54+2,54+2,51+2,54+2,60+2,60+2,60+2,54+2
13865,58+2,58+2,58+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,57+2,57+2,57+2,60+2,52+2,51+2,51+2,51+2,52+2,51+2,45+2,45+2,45+2,51+2
13866,58+2,58+2,58+2,59+2,60+2,60+2,60+2,59+2,61+2,61+2,61+2,60+2,61+2,61+2,61+2,60+2,56+2,58+2,58+2,58+2,56+2,55+2,58+2,58+2,58+2,55+2
13867,48+2,48+2,48+2,53+2,51+2,51+2,51+2,53+2,52+2,52+2,52+2,55+2,52+2,52+2,52+2,55+2,60+2,57+2,57+2,57+2,60+2,61+2,58+2,58+2,58+2,61+2
13868,52+2,52+2,52+2,54+2,52+2,52+2,52+2,54+2,52+2,52+2,52+2,56+2,54+2,54+2,54+2,56+2,60+2,58+2,58+2,58+2,60+2,61+2,59+2,59+2,59+2,61+2
13869,56+2,56+2,56+2,57+2,56+2,56+2,56+2,57+2,55+2,55+2,55+2,57+2,55+2,55+2,55+2,57+2,61+2,58+2,58+2,58+2,61+2,61+2,60+2,60+2,60+2,61+2
13870,45+2,45+2,45+2,44+2,44+2,44+2,44+2,44+2,45+2,45+2,45+2,46+2,47+2,47+2,47+2,46+2,55+2,55+2,55+2,55+2,55+2,57+2,61+2,61+2,61+2,57+2
13871,46+2,46+2,46+2,53+2,50+2,50+2,50+2,53+2,53+2,53+2,53+2,56+2,55+2,55+2,55+2,56+2,61+2,59+2,59+2,59+2,61+2,61+2,61+2,61+2,61+2,61+2
13872,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13873,52+2,52+2,52+2,52+2,52+2,52+2,52+2,52+2,54+2,54+2,54+2,53+2,57+2,57+2,57+2,53+2,57+2,61+2,61+2,61+2,57+2,58+2,62+2,62+2,62+2,58+2
13874,53+2,53+2,53+2,60+2,58+2,58+2,58+2,60+2,61+2,61+2,61+2,60+2,57+2,57+2,57+2,60+2,52+2,50+2,50+2,50+2,52+2,50+2,45+2,45+2,45+2,50+2
13875,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,59+2,59+2,59+2,61+2,59+2,59+2,59+2,61+2,60+2,58+2,58+2,58+2,60+2,59+2,57+2,57+2,57+2,59+2
13876,39+2,39+2,39+2,35+2,35+2,35+2,35+2,35+2,34+2,34+2,34+2,37+2,38+2,38+2,38+2,37+2,51+2,51+2,51+2,51+2,51+2,54+2,60+2,60+2,60+2,54+2
13877,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13878,60+2,60+2,60+2,52+2,55+2,55+2,55+2,52+2,50+2,50+2,50+2,50+2,42+2,42+2,42+2,50+2,37+2,34+2,34+2,34+2,37+2,36+2,37+2,37+2,37+2,36+2
13879,56+2,56+2,56+2,59+2,57+2,57+2,57+2,59+2,58+2,58+2,58+2,61+2,59+2,59+2,59+2,61+2,61+2,59+2,59+2,59+2,61+2,61+2,59+2,59+2,59+2,61+2
13880,46+2,46+2,46+2,44+2,44+2,44+2,44+2,44+2,44+2,44+2,44+2,46+2,46+2,46+2,46+2,46+2,54+2,55+2,55+2,55+2,54+2,56+2,61+2,61+2,61+2,56+2
13881,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13882,37+2,37+2,37+2,33+2,33+2,33+2,33+2,33+2,33+2,33+2,33+2,35+2,37+2,37+2,37+2,35+2,48+2,51+2,51+2,51+2,48+2,51+2,61+2,61+2,61+2,51+2
13883,46+2,46+2,46+2,47+2,46+2,46+2,46+2,47+2,47+2,47+2,47+2,49+2,49+2,49+2,49+2,49+2,56+2,57+2,57+2,57+2,56+2,58+2,60+2,60+2,60+2,58+2
13884,49+2,49+2,49+2,53+2,52+2,52+2,52+2,53+2,55+2,55+2,55+2,55+2,57+2,57+2,57+2,55+2,59+2,60+2,60+2,60+2,59+2,59+2,59+2,59+2,59+2,59+2
13885,60+2,60+2,60+2,56+2,59+2,59+2,59+2,56+2,56+2,56+2,56+2,55+2,49+2,49+2,49+2,55+2,41+2,40+2,40+2,40+2,41+2,40+2,39+2,39+2,39+2,40+2
13886,47+2,47+2,47+2,51+2,48+2,48+2,48+2,51+2,49+2,49+2,49+2,54+2,51+2,51+2,51+2,54+2,60+2,58+2,58+2,58+2,60+2,61+2,61+2,61+2,61+2,61+2
13887,60+2,60+2,60+2,62+2,60+2,60+2,60+2,62+2,60+2,60+2,60+2,63+2,57+2,57+2,57+2,63+2,52+2,49+2,49+2,49+2,52+2,50+2,45+2,45+2,45+2,50+2
13888,61+2,61+2,61+2,57+2,58+2,58+2,58+2,57+2,56+2,56+2,56+2,55+2,50+2,50+2,50+2,55+2,40+2,38+2,38+2,38+2,40+2,39+2,36+2,36+2,36+2,39+2
13889,61+2,61+2,61+2,57+2,58+2,58+2,58+2,57+2,55+2,55+2,55+2,57+2,53+2,53+2,53+2,57+2,54+2,52+2,52+2,52+2,54+2,53+2,55+2,55+2,55+2,53+2
13890,61+2,61+2,61+2,59+2,61+2,61+2,61+2,59+2,60+2,60+2,60+2,56+2,52+2,52+2,52+2,56+2,39+2,39+2,39+2,39+2,39+2,37+2,35+2,35+2,35+2,37+2
13891,55+2,55+2,55+2,61+2,59+2,59+2,59+2,61+2,60+2,60+2,60+2,60+2,55+2,55+2,55+2,60+2,53+2,48+2,48+2,48+2,53+2,51+2,43+2,43+2,43+2,51+2
13892,40+2,40+2,40+2,35+2,36+2,36+2,36+2,35+2,36+2,36+2,36+2,38+2,41+2,41+2,41+2,38+2,50+2,54+2,54+2,54+2,50+2,53+2,60+2,60+2,60+2,53+2
13893,52+2,52+2,52+2,55+2,53+2,53+2,53+2,55+2,54+2,54+2,54+2,56+2,55+2,55+2,55+2,56+2,60+2,59+2,59+2,59+2,60+2,60+2,62+2,62+2,62+2,60+2
13894,47+2,47+2,47+2,51+2,48+2,48+2,48+2,51+2,49+2,49+2,49+2,53+2,51+2,51+2,51+2,53+2,60+2,57+2,57+2,57+2,60+2,61+2,61+2,61+2,61+2,61+2
13895,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,57+2,57+2,57+2,58+2,50+2,50+2,50+2,58+2,42+2,38+2,38+2,38+2,42+2,40+2,35+2,35+2,35+2,40+2
13896,44+2,44+2,44+2,46+2,45+2,45+2,45+2,46+2,46+2,46+2,46+2,49+2,50+2,50+2,50+2,49+2,59+2,59+2,59+2,59+2,59+2,60+2,62+2,62+2,62+2,60+2
13897,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13898,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13899,53+2,53+2,53+2,57+2,57+2,57+2,57+2,57+2,60+2,60+2,60+2,58+2,60+2,60+2,60+2,58+2,54+2,57+2,57+2,57+2,54+2,54+2,52+2,52+2,52+2,54+2
13900,57+2,57+2,57+2,59+2,58+2,58+2,58+2,59+2,58+2,58+2,58+2,60+2,57+2,57+2,57+2,60+2,61+2,59+2,59+2,59+2,61+2,61+2,60+2,60+2,60+2,61+2
13901,53+2,53+2,53+2,49+2,51+2,51+2,51+2,49+2,49+2,49+2,49+2,51+2,53+2,53+2,53+2,51+2,59+2,61+2,61+2,61+2,59+2,59+2,64+2,64+2,64+2,59+2
13902,58+2,58+2,58+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,60+2,60+2,60+2,60+2,60+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,61+2
13903,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13904,59+2,59+2,59+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,62+2,58+2,58+2,58+2,62+2,48+2,47+2,47+2,47+2,48+2,45+2,40+2,40+2,40+2,45+2
13905,49+2,49+2,49+2,47+2,48+2,48+2,48+2,47+2,49+2,49+2,49+2,48+2,52+2,52+2,52+2,48+2,55+2,58+2,58+2,58+2,55+2,57+2,61+2,61+2,61+2,57+2
13906,61+2,61+2,61+2,59+2,59+2,59+2,59+2,59+2,57+2,57+2,57+2,58+2,50+2,50+2,50+2,58+2,46+2,41+2,41+2,41+2,46+2,44+2,41+2,41+2,41+2,44+2
13907,55+2,55+2,55+2,57+2,55+2,55+2,55+2,57+2,54+2,54+2,54+2,57+2,52+2,52+2,52+2,57+2,61+2,57+2,57+2,57+2,61+2,61+2,62+2,62+2,62+2,61+2
13908,55+2,55+2,55+2,61+2,58+2,58+2,58+2,61+2,58+2,58+2,58+2,61+2,54+2,54+2,54+2,61+2,54+2,49+2,49+2,49+2,54+2,53+2,46+2,46+2,46+2,53+2
13909,61+2,61+2,61+2,60+2,61+2,61+2,61+2,60+2,58+2,58+2,58+2,58+2,50+2,50+2,50+2,58+2,45+2,40+2,40+2,40+2,45+2,43+2,38+2,38+2,38+2,43+2
13910,38+2,38+2,38+2,38+2,37+2,37+2,37+2,38+2,38+2,38+2,38+2,39+2,41+2,41+2,41+2,39+2,49+2,52+2,52+2,52+2,49+2,52+2,61+2,61+2,61+2,52+2
13911,57+2,57+2,57+2,56+2,57+2,57+2,57+2,56+2,58+2,58+2,58+2,57+2,59+2,59+2,59+2,57+2,59+2,61+2,61+2,61+2,59+2,59+2,61+2,61+2,61+2,59+2
13912,57+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,59+2,57+2,57+2,57+2,59+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2
13913,48+2,48+2,48+2,50+2,50+2,50+2,50+2,50+2,54+2,54+2,54+2,53+2,57+2,57+2,57+2,53+2,56+2,60+2,60+2,60+2,56+2,57+2,60+2,60+2,60+2,57+2
